Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/03/2023,14,23.6,0.2,,,SW,28,11:10,16.2,72,,SSE,7,,20.2,54,,SW,13,
2/03/2023,13,20.5,0.4,,,SW,26,17:17,15.9,82,, ,Calm,,19.6,65,,SW,9,
3/03/2023,12.7,24.4,0,,,SE,30,12:28,15.8,72,,SSE,11,,23.7,45,,S,13,
4/03/2023,11.1,31.8,0,,,NE,31,11:09,16.9,86,,NE,4,,28.7,44,,NNE,9,
5/03/2023,16.9,34.5,0,,,WNW,65,16:46,23.5,60,,NNE,11,,31.8,19,,NNW,13,
6/03/2023,13.4,25.7,14,,,NNW,41,16:52,16.1,74,,NNW,9,,22.6,43,,NNW,15,
7/03/2023,14.5,23,0.2,,,N,46,15:11,15.8,63,,NNW,9,,20.9,42,,NNW,19,
8/03/2023,10.5,19.6,1.4,,,WNW,41,23:56,13.2,67,,NW,9,,18.3,38,,WNW,17,
9/03/2023,9.8,23.5,0,,,WNW,31,14:09,13,74,,NNE,7,,21.4,47,,WNW,11,
10/03/2023,13,25,0.2,,,SSE,22,20:32,16.3,79,,NNE,6,,23.3,48,,SW,6,
11/03/2023,11.7,27.2,0,,,S,31,17:41,16.3,83,, ,Calm,,25.3,36,,S,7,
12/03/2023,14.9,21.8,0,,,SW,28,17:51,16.7,77,,S,7,,19.9,61,,SW,15,
13/03/2023,9,27.1,0,,,SW,24,15:36,15.8,75,, ,Calm,,24.7,43,,ESE,6,
14/03/2023,13.4,30.6,0,,,NE,26,9:11,20.9,66,,NE,13,,28.1,38,,N,9,
15/03/2023,18.1,31.1,0,,,SSE,20,18:13,19.1,86,,NNE,4,,28.8,42,,NNE,4,
16/03/2023,16.6,28.9,0,,,W,37,20:41,17.8,71,,W,13,,25.6,49,,WSW,9,
17/03/2023,15,26.3,2.8,,,WSW,31,23:31,15.7,85,,S,2,,23.8,38,,WNW,6,
18/03/2023,12,33.7,0.2,,,NNE,46,9:26,22.1,48,,NNE,20,,29.9,32,,NNE,15,
19/03/2023,16,20.3,0,,,S,20,20:21,16.1,85,,S,6,,18.1,73,,S,7,
20/03/2023,12.5,22.5,0,,,S,37,15:04,14.3,68,,SSE,13,,21.5,35,,SSE,15,
21/03/2023,8.5,20.3,0,,,ENE,22,16:19,12.7,78,, ,Calm,,20.1,60,,W,2,
22/03/2023,12.7,25.3,3.4,,,SW,20,15:37,16.5,96,, ,Calm,,24.5,56,,SW,6,
23/03/2023,12.9,25,0.2,,,W,33,8:00,15.6,93,,W,22,,22.6,65,,SSW,7,
24/03/2023,14.9,21.8,6.8,,,SSW,28,16:47,16.3,88,,S,7,,21.1,53,,SSW,13,
25/03/2023,8.9,21.1,0,,,SSE,28,16:25,14.2,83,,SSE,6,,20.1,51,,S,9,
26/03/2023,8.8,22.7,0,,,SSW,19,18:41,12.3,83,, ,Calm,,20.1,59,,SW,6,
27/03/2023,12.3,18.2,0,,,NNE,20,12:19,15.6,88,,NNE,6,,18,74,,NNE,9,
28/03/2023,15.2,24.1,5.4,,,SW,22,15:54,16.6,97,,NW,2,,22.1,68,,SW,9,
29/03/2023,13.6,18.1,4.4,,,WSW,39,15:19,13.7,96,,S,9,,16.9,75,,SW,13,
30/03/2023,11.7,19,20.6,,,W,31,11:06,12.9,89,,WNW,7,,17.2,63,,SW,15,
31/03/2023,12.5,20.7,1.4,,,W,30,0:58,14.1,86,,WNW,7,,19.4,57,,WSW,13,
